x_byte0,x_byte1,y_byte0,y_byte1,dac1,dac2
48,14,236,72,140,140
204,15,159,72,140,140
204,15,159,72,141,141
214,15,135,72,141,141
235,15,187,72,142,142
245,15,165,72,142,142
137,15,91,72,143,143
153,15,73,72,143,143
150,15,71,72,144,144
180,15,101,72,145,145
68,15,8,72,145,145
91,15,3,72,145,145
94,15,5,72,146,146
124,15,37,72,147,147
13,15,213,75,147,147
7,15,192,75,147,147
27,15,195,75,148,148
27,15,196,75,148,148
201,12,145,75,149,149
152,0,0,59,150,150
232,12,191,75,150,150
229,12,172,75,151,151
129,12,85,75,151,151
133,12,73,75,152,152
174,12,113,75,152,152
161,12,118,75,153,153
188,12,97,75,153,153
76,12,19,75,153,153
107,12,49,75,154,154
103,12,44,75,155,155
9,12,208,74,156,156
5,12,204,74,156,156
28,12,193,74,156,156
21,12,250,74,156,156
23,12,254,74,157,157
52,12,152,74,157,157
55,12,156,74,158,158
211,13,185,74,159,159
213,13,186,74,159,159
152,0,0,250,160,160
153,13,72,74,160,160
163,13,126,74,161,161
176,13,110,74,161,161
64,13,26,74,162,162
91,13,22,74,162,162
99,13,48,74,163,163
122,13,40,74,163,163
14,13,218,77,164,164
24,13,213,77,164,164
39,13,243,77,165,165
58,13,246,77,166,166
198,10,147,77,167,167
227,10,176,77,168,168
227,10,176,77,168,168
143,10,90,77,168,168
132,10,95,77,169,169
171,10,120,77,169,169
175,10,124,77,170,170
176,10,111,77,170,170
76,10,28,77,171,171
93,10,12,77,171,171
152,0,0,0,171,171
123,10,41,77,172,172
27,10,200,76,173,173
33,10,255,76,174,174
50,10,224,76,174,174
54,10,226,76,175,175
211,11,142,76,175,175
255,11,172,76,176,176
242,11,174,76,177,177
154,11,74,76,177,177
157,11,77,76,178,178
151,11,121,76,178,178
185,11,108,76,179,179
74,11,103,76,179,179
89,11,9,76,180,180
89,11,10,76,180,180
103,11,40,76,181,181
152,0,0,80,181,181
19,11,206,79,182,182
34,11,244,79,183,183
54,11,228,79,183,183
